,Weights,Bond Description,Country,Mod Dur,Yield
CND10004GNL8,0.09999931516366178,China 2.6900%  CGB  Aug 2026,CN,2.813045,2.273167
CND10003W0P5,5.447083177116674e-07,China 3.2800%  CGB  Dec 2027,CN,3.948456,2.306145
CND10004LLJ6,1.20128038035241e-07,China 2.4700%  CGB  Sep 2024,CN,1.04315,1.960242
IDG000012006,1.8791550882940173e-06,Indonesia 8.3750%  INDOG  Mar 2024,ID,0.583225,5.941473
IDG000013707,1.5155812709114714e-06,Indonesia 6.5000%  INDOGB  Jun 2025,ID,1.726132,6.017978
IDG000015108,1.7508553284872517e-07,Indonesia 5.5000%  INDOGB  Apr 2026,ID,2.434539,5.99911
IDG000009507,1.012524344353252e-07,Indonesia 8.3750%  IDGB  Sep 2026,ID,2.663552,5.941035
IDG000009804,1.0654868619636718e-07,Indonesia 7.0000%  INDOG  May 2027,ID,3.257313,5.993838
IDG000010307,9.301663348368745e-08,Indonesia 6.1250%  INDOG  May 2028,ID,4.049444,6.019061
IDG000012907,1.5808555234107764e-07,Indonesia 8.2500%  INDOGB  May 2029,ID,4.562836,6.150362
IDG000013806,0.009371559339639086,Indonesia 7.0000%  INDOGB  Sep 2030,ID,5.445218,6.327591
IDG000015207,7.338691954366923e-06,Indonesia 6.5000%  INDOGB  Feb 2031,ID,5.729889,6.343306
IDG000018706,2.3015510336250915e-07,Indonesia 6.3750%  INDOGB  Apr 2032,ID,6.488043,6.329467
IDG000020801,1.0242699369602312e-07,Indonesia 7.0000%  INDOGB  Feb 2033,ID,6.76669,6.22418
IDG000010802,2.6284031055921894e-07,Indonesia 8.3750%  INDOG  Mar 2034,ID,7.067612,6.382056
IDG000013509,2.2923183762968137e-07,Indonesia 7.5000%  INDOGB  Jun 2035,ID,7.912444,6.427669
IDG000014101,0.09061605315876964,Indonesia 7.5000%  INDOGB  Apr 2040,ID,9.567195,6.641602
IDG000018805,2.254301973974657e-07,Indonesia 7.1250%  INDOGB  Jun 2042,ID,10.454472,6.594316
MYBMO1500010,1.0800849264217333e-07,Malaysia 3.9550%  MGS  Sep 2025,MY,1.992971,3.350141
MYBGO1500046,2.4260442037275586e-07,Malaysia 3.9900%  MGII  Oct 2025,MY,2.071705,3.464972
MYBGK1900038,1.994747672882233e-07,Malaysia 3.7260%  MGII  Mar 2026,MY,2.485135,3.478871
MYBGL2000018,2.557997275758864e-07,Malaysia 3.4220%  MGII  Sep 2027,MY,3.801115,3.595036
MYBMO1700040,1.4657686824799595e-07,Malaysia 3.8990%  MGS  Nov 2027,MY,3.895508,3.53332
MYBMS1300057,3.2960034382469104e-07,Malaysia 3.7330%  MGS  Jun 2028,MY,4.397996,3.655668
MYBGO1800024,4.5340408001345867e-07,Malaysia 4.3690%  MGII  Oct 2028,MY,4.621222,3.689195
MYBGO2000020,0.09999759858012439,Malaysia 3.4650%  MGII  Oct 2030,MY,6.239497,3.849053
MYBMX1700033,4.167067280352963e-07,Malaysia 4.7620%  MGS  Apr 2037,MY,10.011637,4.027297
MYBMY1900052,1.520838543145015e-07,Malaysia 3.7570%  MGS  May 2040,MY,12.177013,4.074629
MYBMZ2000016,9.71605951227266e-08,Malaysia 4.0650%  MGS  Jun 2050,MY,16.00268,4.248813
US718286BM88,0.00063554,Philippines Global 6.2500%  PHILI,PH,8.524604,6.335049
TH0623A3C606,0.09709722,Thailand 3.7750%  THAIG  Jun 2032,TH,7.581476,2.552754
CZ0001004469,0.06144221,Czech 1.0000%  CZGB  Jun 2026,CZ,2.740359,4.709738
HU0000403001,0.02869433,Hungary 3.2500%  HGB  Oct 2031,HU,6.570711,7.074612
PL0000108866,0.07458646000000001,Poland 2.5000%  POLGB  Jul 2026,PL,2.759306,5.262607
RO52CQA3C829,0.03706747,Romania 8.2500%  ROMGB  Sep 2032,RO,6.125076,6.455575
RSMFRSD89592,0.00293884,Republic of Serbia 4.5000%  SERBGB 7Y Jan 2026,RS,2.202636,5.098844
TRT011025T16,0.00786854,Turkey 12.6000%  TURKG  Oct 2025,TR,1.763795,14.236334
BRSTNCNTF170,0.09913081395529462,Brazil 10.0000%  BNTNF  Jan 2025,BR,1.2637,10.819807
BRSTNCLTN7U7,4.230873318065669e-08,Brazil 0.0000%  BLTN  Jan 2026,BR,2.271676,10.319476
BRSTNCLTN848,4.0057824152392395e-08,Brazil 0.0000%  BLTN  Jul 2026,BR,2.73584,10.318169
BRSTNCNTF1P8,4.522422176153142e-08,Brazil 10.0000%  BNTNF  Jan 2027,BR,2.77434,10.389147
BRSTNCNTF1Q6,9.1453913730011e-08,Brazil 10.0000%  BNTNF  Jan 2029,BR,3.998699,10.739774
CL0002454248,0.02071581,Chile Nominal 4.7000%  BTPCL  Sep 2030,CL,5.816506,5.260754
COL17CT02914,0.04660057,Colombia 6.0000%  COLTE  Apr 2028,CO,3.784985,9.905177
USP3579ECD78,0.00173491,Dominican Republic Global 9.7500%  DOMREP  Jun 2026,DO,2.408327,9.069315
MX0MGO0000P2,0.100000034,Mexico 7.7500%  MBONO  May 2031,MX,5.639856,8.828881
PEP01000C5E9,0.02448065,Peru 6.1500%  PERUG  Aug 2032,PE,6.600176,6.619302
US760942BF85,0.0021309700000000003,Uruguay Global 9.7500%  URUGUA  Jul 2033,UY,6.360813,9.100231
EGBGR03171F8,0.01002935,Egypt 14.4830%  EGYGB  Apr 2026,EG,1.948393,22.475097
ZAG000107004,0.084846104,South Africa 8.2500%  SAGB  Mar 2032,ZA,5.646975,10.858825
