Date,BBVA,MSFT
1/24/2022,6.2,292.2
1/25/2022,6.18,291.52
1/26/2022,6.36,307.99
1/27/2022,6.38,302.66
1/28/2022,6.29,300.23
1/31/2022,6.29,308.95
2/1/2022,6.43,310.41
2/2/2022,6.61,309.63
2/3/2022,6.53,309.49
2/4/2022,6.48,300.21
2/7/2022,6.57,306.17
2/8/2022,6.7,301.25
2/9/2022,6.79,309.87
2/10/2022,6.86,304.04
2/11/2022,6.76,303.19
2/14/2022,6.55,293.77
2/15/2022,6.58,300.01
2/16/2022,6.53,298.37
2/17/2022,6.57,296.36
2/18/2022,6.49,293.05
2/22/2022,6.41,285
2/23/2022,6.48,290.18
2/24/2022,5.87,272.51
2/25/2022,6.08,295.14
2/28/2022,5.84,294.31
3/1/2022,5.81,296.4
3/2/2022,5.81,295.36
3/3/2022,5.72,302.89
3/4/2022,5.35,294.29
3/7/2022,5.04,288.53
3/8/2022,5.17,277.8
3/9/2022,5.44,283.44
3/10/2022,5.53,283.02
3/11/2022,5.57,287.96
3/14/2022,5.56,280.34
3/15/2022,5.62,280.35
3/16/2022,5.8,289.11
3/17/2022,5.79,293.29
3/18/2022,5.74,295.37
3/21/2022,5.85,298.89
3/22/2022,5.89,299.8
3/23/2022,5.75,300.51
3/24/2022,5.65,299.14
3/25/2022,5.61,305.23
3/28/2022,5.72,304.33
3/29/2022,6.08,313.91
3/30/2022,6.02,313.76
3/31/2022,5.82,313.9
4/1/2022,5.82,309.37
4/4/2022,5.76,310.09
4/5/2022,5.67,313.27
4/6/2022,5.29,305.19
4/7/2022,5.37,296.66
4/8/2022,5.32,300.44
4/11/2022,5.39,291.79
4/12/2022,5.4,289.24
4/13/2022,5.3,282.73
4/14/2022,5.38,288.09
4/18/2022,5.39,278.91
4/19/2022,5.47,279.38
4/20/2022,5.6,289.4
4/21/2022,5.61,288.58
4/22/2022,5.47,281.68
4/25/2022,5.27,273.29
4/26/2022,5.05,277.5
4/27/2022,4.89,282.1
4/28/2022,4.98,285.19
4/29/2022,5.27,288.61
5/2/2022,5.17,277.71
5/3/2022,5.16,283.96
5/4/2022,5.07,282.59
5/5/2022,5.03,285.54
5/6/2022,4.89,274.81
5/9/2022,4.86,270.06
5/10/2022,4.99,271.69
5/11/2022,4.93,265.68
5/12/2022,4.83,257.69
5/13/2022,4.96,257.35
5/16/2022,5.05,259.96
5/17/2022,5.14,266.11
5/18/2022,5.12,263
5/19/2022,4.94,253.9
5/20/2022,5.05,257.24
5/23/2022,5.1,255.49
5/24/2022,5.22,257.89
5/25/2022,5.16,258.14
5/26/2022,5.29,262.27
5/27/2022,5.35,268.48
5/31/2022,5.43,272.53
6/1/2022,5.43,275.2
6/2/2022,5.34,264.45
6/3/2022,5.37,270.31
6/6/2022,5.43,272.06
6/7/2022,5.38,266.64
6/8/2022,5.32,271.71
6/9/2022,5.11,267.78
6/10/2022,4.62,260.58
6/13/2022,4.35,245.11
6/14/2022,4.4,243.86
6/15/2022,4.41,248.31
6/16/2022,4.35,245.98
6/17/2022,4.47,244.7
6/21/2022,4.56,250.26
6/22/2022,4.56,251.89
6/23/2022,4.46,255.57
6/24/2022,4.49,261.81
6/27/2022,4.63,268.21
6/28/2022,4.65,263.98
6/29/2022,4.56,257.59
6/30/2022,4.45,257.05
7/1/2022,4.46,256.39
7/5/2022,4.31,256.16
7/6/2022,4.29,263.75
7/7/2022,4.42,265.12
7/8/2022,4.43,264.79
7/11/2022,4.36,265.65
7/12/2022,4.04,265.88
7/13/2022,4.07,250.19
7/14/2022,3.98,250.57
7/15/2022,4.04,255.72
7/18/2022,4.12,259.75
7/19/2022,4.28,257.58
7/20/2022,4.23,259.9
7/21/2022,4.21,259.79
7/22/2022,4.22,265.24
7/25/2022,4.25,261
7/26/2022,4.14,259.86
7/27/2022,4.18,261.16
7/28/2022,4.19,269.75
7/29/2022,4.44,277.7
8/1/2022,4.48,277.82
8/2/2022,4.54,276
8/3/2022,4.57,276.76
8/4/2022,4.65,281.8
8/5/2022,4.65,279.15
8/8/2022,4.7,284.05
8/9/2022,4.77,279.64
8/10/2022,4.81,288.17
8/11/2022,4.87,290.85
8/12/2022,4.88,288.48
8/15/2022,4.83,291
8/16/2022,4.88,291.99
8/17/2022,4.88,289.74
8/18/2022,4.93,290.19
8/19/2022,4.69,288.9
8/22/2022,4.55,282.08
8/23/2022,4.57,276.44
8/24/2022,4.48,275.41
8/25/2022,4.46,277.33
8/26/2022,4.56,279.08
8/29/2022,4.45,265.85
8/30/2022,4.5,266.67
8/31/2022,4.47,265.39
9/1/2022,4.44,258.87
9/2/2022,4.47,261.7
9/6/2022,4.41,256.2
9/7/2022,4.34,254.7
9/8/2022,4.45,257.51
9/9/2022,4.82,260.5
9/12/2022,4.97,265.78
9/13/2022,4.84,258.84
9/14/2022,4.83,253.53
9/15/2022,4.89,249.77
9/16/2022,4.87,244.26
9/19/2022,4.85,242.47
9/20/2022,4.88,242.07
9/21/2022,4.87,244.27
9/22/2022,4.86,237.87
9/23/2022,4.65,239.54
9/26/2022,4.55,237.05
9/27/2022,4.44,239.98
9/28/2022,4.41,236.81
9/29/2022,4.42,238.89
9/30/2022,4.43,238.29
10/3/2022,4.5,235.41
10/4/2022,4.82,245.09
10/5/2022,4.73,245.99
10/6/2022,4.68,247.93
10/7/2022,4.52,240.9
10/10/2022,4.48,233.05
10/11/2022,4.42,227.62
10/12/2022,4.42,225.4
10/13/2022,4.43,219.85
10/14/2022,4.68,235.54
10/17/2022,4.74,235.82
10/18/2022,4.93,243.24
10/19/2022,4.83,237.04
10/20/2022,4.92,235.77
10/21/2022,4.81,234.74
10/24/2022,5.07,243.76
10/25/2022,5.13,247.26
10/26/2022,5.21,231.17
10/27/2022,5.19,231.04
10/28/2022,5.12,226.24
10/31/2022,5.1,233.76
11/1/2022,5.23,234.6
11/2/2022,5.26,229.46
11/3/2022,5.04,220.09
11/4/2022,5.25,217.55
11/7/2022,5.33,221.99
11/8/2022,5.33,228.7
11/9/2022,5.3,227.37
11/10/2022,5.32,235.43
11/11/2022,5.45,242.99
11/14/2022,5.5,241.99
11/15/2022,5.6,245.66
11/16/2022,5.58,242.79
11/17/2022,5.46,237.78
11/18/2022,5.6,243.51
11/21/2022,5.55,241.43
11/22/2022,5.61,243.59
11/23/2022,5.7,245.11
11/25/2022,5.78,247.31
11/28/2022,5.77,246.08
11/29/2022,5.77,241.4
11/30/2022,5.79,240.57
12/1/2022,5.9,253.87
12/2/2022,5.82,249.82
12/5/2022,5.85,252.01
12/6/2022,5.8,250.82
12/7/2022,5.78,244.83
12/8/2022,5.8,244.84
12/9/2022,5.76,244.7
12/12/2022,5.76,247.45
12/13/2022,5.92,261.69
12/14/2022,5.84,257.13
12/15/2022,5.73,253.72
