Date,C
1/2/2024,51.3
1/3/2024,53.25
1/4/2024,53.92
1/5/2024,54.03
1/8/2024,53.99
1/9/2024,53.85
1/10/2024,53.05
1/11/2024,51.84
1/12/2024,52.3
1/16/2024,51.78
1/17/2024,51.11
1/18/2024,51.45
1/19/2024,51.12
1/22/2024,51.99
1/23/2024,52.91
1/24/2024,53.54
1/25/2024,53.4
1/26/2024,53.86
1/29/2024,53.47
1/30/2024,55.04
1/31/2024,56.74
2/1/2024,56.02
2/2/2024,55.6
2/5/2024,54.94
2/6/2024,54.38
2/7/2024,54.5
2/8/2024,54.18
2/9/2024,54.29
2/12/2024,53.57
2/13/2024,53.57
2/14/2024,53.64
2/15/2024,54.22
2/16/2024,54.96
2/20/2024,54.58
2/21/2024,55.26
2/22/2024,55.44
2/23/2024,55.99
2/26/2024,55.96
2/27/2024,55.68
2/28/2024,55.52
2/29/2024,55.5
3/1/2024,55.48
3/4/2024,55.41
3/5/2024,55.75
3/6/2024,57.07
3/7/2024,57.54
3/8/2024,58.04
3/11/2024,57.15
3/12/2024,57.51
3/13/2024,57.5
3/14/2024,58.33
3/15/2024,56.45
3/18/2024,57.85
3/19/2024,58.59
3/20/2024,58.49
3/21/2024,60.31
3/22/2024,61.04
3/25/2024,60.89
3/26/2024,61.15
3/27/2024,62.03
3/28/2024,62.73
4/1/2024,63.6
4/2/2024,62.65
4/3/2024,62.86
4/4/2024,62.15
4/5/2024,60.82
4/8/2024,61.67
4/9/2024,61.75
4/10/2024,60.52
4/11/2024,60.35
4/12/2024,62.29
4/15/2024,60.18
4/16/2024,58.18
4/17/2024,57.49
4/18/2024,58.49
4/19/2024,58.23
4/22/2024,59.44
4/23/2024,61.08
4/24/2024,62.13
4/25/2024,61.84
4/26/2024,61.51
4/29/2024,62.74
4/30/2024,61.91
5/1/2024,61.48
5/2/2024,62.19
5/3/2024,61.51
5/6/2024,62.06
5/7/2024,62.82
5/8/2024,61.64
5/9/2024,62.38
5/10/2024,63.58
5/13/2024,63.62
5/14/2024,63.51
5/15/2024,63.63
5/16/2024,64.1
5/17/2024,64.38
5/20/2024,64.07
5/21/2024,63.26
5/22/2024,64.29
5/23/2024,63.8
5/24/2024,63.33
5/28/2024,63.23
5/29/2024,61.56
5/30/2024,62.1
5/31/2024,62
6/3/2024,62.92
6/4/2024,61.02
6/5/2024,61.28
6/6/2024,61.8
6/7/2024,61.6
6/10/2024,61.25
6/11/2024,60.77
6/12/2024,60.91
6/13/2024,59.75
6/14/2024,59.44
6/17/2024,59.22
6/18/2024,60.37
6/20/2024,60.42
6/21/2024,60.2
6/24/2024,60.1
6/25/2024,61.2
6/26/2024,61.23
6/27/2024,61.5
6/28/2024,62.03
7/1/2024,63.65
7/2/2024,63.29
7/3/2024,64.68
7/5/2024,64.5
7/8/2024,64.3
7/9/2024,64.8
7/10/2024,66.26
7/11/2024,66.19
7/12/2024,66.61
7/15/2024,64.68
7/16/2024,65
7/17/2024,66.84
7/18/2024,67.55
7/19/2024,64.93
7/22/2024,65.14
7/23/2024,64.51
7/24/2024,64.4
7/25/2024,63.81
7/26/2024,64.55
7/29/2024,65.3
7/30/2024,65.01
7/31/2024,65.91
8/1/2024,65.08
8/2/2024,59.67
8/5/2024,54.08
8/6/2024,56.39
8/7/2024,58.17
8/8/2024,56.85
8/9/2024,58.03
8/12/2024,58.3
8/13/2024,58.23
8/14/2024,58.37
8/15/2024,60.34
8/16/2024,60.33
8/19/2024,61.5
8/20/2024,61.59
8/21/2024,61.4
8/22/2024,60.75
8/23/2024,60.87
8/26/2024,62.36
8/27/2024,61.91
8/28/2024,61.35
8/29/2024,62.01
8/30/2024,61.95
9/3/2024,62.04
9/4/2024,61.57
9/5/2024,61.61
9/6/2024,60.7
9/9/2024,59.91
9/10/2024,59.89
9/11/2024,57.59
9/12/2024,57.37
9/13/2024,57.71
9/16/2024,57.93
9/17/2024,58.86
9/18/2024,59.75
9/19/2024,60.92
9/20/2024,62.52
9/23/2024,62.22
9/24/2024,62.68
9/25/2024,61.12
9/26/2024,61.05
9/27/2024,62.01
9/30/2024,61.68
10/1/2024,62.22
10/2/2024,61.7
10/3/2024,61.5
10/4/2024,62.47
10/7/2024,62.49
10/8/2024,62.9
10/9/2024,63.17
10/10/2024,64
10/11/2024,64.12
10/14/2024,65.81
10/15/2024,66.75
10/16/2024,63.44
10/17/2024,64.73
10/18/2024,64.12
10/21/2024,62.79
10/22/2024,61.59
10/23/2024,63.18
10/24/2024,63.01
10/25/2024,63.65
10/28/2024,62.35
10/29/2024,64.07
10/30/2024,64.2
10/31/2024,64.56
11/1/2024,64.33
11/4/2024,62.99
11/5/2024,63
11/6/2024,68.4
11/7/2024,68.2
11/8/2024,68.72
11/11/2024,69.51
11/12/2024,69.53
11/13/2024,69.07
11/14/2024,69.3
11/15/2024,68
11/18/2024,68.68
11/19/2024,68
11/20/2024,69.14
11/21/2024,68.8
11/22/2024,68.91
11/25/2024,70.44
11/26/2024,70.36
11/27/2024,69.77
11/29/2024,70.27
12/2/2024,71.26
12/3/2024,72.19
12/4/2024,71.5
12/5/2024,71.83
12/6/2024,72.31
12/9/2024,72.3
12/10/2024,72
12/11/2024,73
12/12/2024,71.86
12/13/2024,71.71
12/16/2024,71.27
12/17/2024,70.9
12/18/2024,71.18
12/19/2024,69.21
12/20/2024,68.29
12/23/2024,69.36
12/24/2024,70.1
12/26/2024,70.79
12/27/2024,70.86
12/30/2024,70.18
12/31/2024,70.55
