Date,SPX,IBM,Month End
1/4/2010,1132.99,126.51,0
1/5/2010,1136.52,124.98,0
1/6/2010,1135.71,124.17,0
1/7/2010,1141.69,123.74,0
1/8/2010,1144.98,124.98,0
1/11/2010,1146.98,123.67,0
1/12/2010,1136.22,124.66,0
1/13/2010,1145.68,124.39,0
1/14/2010,1144.89,126.38,0
1/15/2010,1136.03,125.87,0
1/19/2010,1150.23,128.13,0
1/20/2010,1138.04,124.41,0
1/21/2010,1116.48,123.22,0
1/22/2010,1115.49,119.87,0
1/25/2010,1096.78,120.47,0
1/26/2010,1092.17,120.11,0
1/27/2010,1097.5,120.67,0
1/28/2010,1084.53,118.2,0
1/29/2010,1073.87,116.9,1
2/1/2010,1089.19,119.08,0
2/2/2010,1103.32,119.9,0
2/3/2010,1097.28,120.03,0
2/4/2010,1063.11,117.49,0
2/5/2010,1066.19,117.98,0
2/8/2010,1056.74,116.42,0
2/9/2010,1070.52,117.69,0
2/10/2010,1068.13,117.3,0
2/11/2010,1078.47,118.18,0
2/12/2010,1075.51,118.44,0
2/16/2010,1094.87,119.62,0
2/17/2010,1099.51,120.67,0
2/18/2010,1106.75,122.08,0
2/19/2010,1109.17,121.49,0
2/22/2010,1108.01,121.16,0
2/23/2010,1094.6,120.79,0
2/24/2010,1105.24,121.87,0
2/25/2010,1102.94,121.37,0
2/26/2010,1104.49,121.46,1
3/1/2010,1115.71,122.81,0
3/2/2010,1118.31,121.71,0
3/3/2010,1118.79,121.19,0
3/4/2010,1122.97,121.04,0
3/5/2010,1138.7,121.54,0
3/8/2010,1138.5,120.74,0
3/9/2010,1140.45,119.92,0
3/10/2010,1145.61,119.99,0
3/11/2010,1150.24,121.88,0
3/12/2010,1149.99,122.2,0
3/15/2010,1150.51,122.1,0
3/16/2010,1159.46,122.9,0
3/17/2010,1160.74,122.03,0
3/18/2010,1165.83,122.62,0
3/19/2010,1159.9,121.98,0
3/22/2010,1165.81,122.24,0
3/23/2010,1166.47,123.57,0
3/24/2010,1167.72,122.77,0
3/25/2010,1165.73,123.45,0
3/26/2010,1166.59,123.46,0
3/29/2010,1173.22,122.82,0
3/30/2010,1173.27,123,0
3/31/2010,1169.43,122.5,1
4/1/2010,1178.1,122.5,0
4/5/2010,1187.44,123.55,0
4/6/2010,1189.44,123.15,0
4/7/2010,1182.45,122.72,0
4/8/2010,1186.44,121.89,0
4/9/2010,1194.37,122.99,0
4/12/2010,1196.48,122.6,0
4/13/2010,1197.3,123.24,0
4/14/2010,1210.65,125.37,0
4/15/2010,1211.67,125.02,0
4/16/2010,1192.13,124.77,0
4/19/2010,1197.52,126.3,0
4/20/2010,1207.17,123.88,0
4/21/2010,1205.94,123.21,0
4/22/2010,1208.67,123.34,0
4/23/2010,1217.28,124.16,0
4/26/2010,1212.05,124.87,0
4/27/2010,1183.71,123.04,0
4/28/2010,1191.36,124.27,0
4/29/2010,1206.78,124.61,0
4/30/2010,1186.69,123.22,1
5/3/2010,1202.26,123.79,0
5/4/2010,1173.6,122.38,0
5/5/2010,1165.87,121.75,0
5/6/2010,1128.15,118.36,0
5/7/2010,1110.88,116.63,0
5/10/2010,1159.73,120.61,0
5/11/2010,1155.79,121.2,0
5/12/2010,1171.67,126.73,0
5/13/2010,1157.44,125.58,0
5/14/2010,1135.68,125.31,0
5/17/2010,1136.94,124.59,0
5/18/2010,1120.8,124.12,0
5/19/2010,1115.05,123.08,0
5/20/2010,1071.59,118.25,0
5/21/2010,1087.69,119.8,0
5/24/2010,1073.65,118.87,0
5/25/2010,1074.03,118.94,0
5/26/2010,1067.95,117.7,0
5/27/2010,1103.06,120.72,0
5/28/2010,1089.41,119.64,1
6/1/2010,1070.71,118.77,0
6/2/2010,1098.38,121.7,0
6/3/2010,1102.83,122.22,0
6/4/2010,1064.88,119.66,0
6/7/2010,1050.47,118.56,0
6/8/2010,1062,118.17,0
6/9/2010,1055.69,118.34,0
6/10/2010,1086.84,121.96,0
6/11/2010,1091.6,122.69,0
6/14/2010,1089.63,122.74,0
6/15/2010,1115.23,123.97,0
6/16/2010,1114.61,124.51,0
6/17/2010,1116.04,125.11,0
6/18/2010,1117.51,124.31,0
6/21/2010,1113.2,124.79,0
6/22/2010,1095.31,123.5,0
6/23/2010,1092.04,124.28,0
6/24/2010,1073.69,122.44,0
6/25/2010,1076.76,121.42,0
6/28/2010,1074.57,123.2,0
6/29/2010,1041.24,119.48,0
6/30/2010,1030.71,117.94,1
7/1/2010,1027.37,117.07,0
7/2/2010,1022.58,116.4,0
7/6/2010,1028.06,117.92,0
7/7/2010,1060.27,121.31,0
7/8/2010,1070.25,122.23,0
7/9/2010,1077.96,122.22,0
7/12/2010,1078.75,122.9,0
